model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2   0.0613333
           4       0.034
           8   0.0626667
          16   0.0953333
          32    0.147333
          64    0.260667
         128    0.594667
         256     1.37433
         512     3.22267
        1024     7.31233
        2048     15.4693
        4096      21.805
        8192     33.1123
       16384      58.824
       32768     111.241
       65536     206.632
      131072     417.441
      262144     821.144
      524288     1720.84
     1048576        3381
     2097152     6671.02
     4194304     13328.9
     8388608     26557.5
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2    0.329667
           4    0.125667
           8       0.141
          16       0.255
          32       0.411
          64       0.482
         128    0.839667
         256     1.46367
         512     2.65933
        1024     4.71733
        2048       9.207
        4096      17.086
        8192      25.981
       16384     51.5013
       32768     134.073
       65536     286.746
      131072     588.894
      262144     1212.74
      524288     2303.79
     1048576     4469.61
     2097152     8883.79
     4194304     18279.7
     8388608     36593.1
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2       0.153
           4    0.100333
           8       0.146
          16    0.223667
          32       0.322
          64    0.470667
         128    0.826667
         256        1.52
         512     2.89067
        1024     5.21467
        2048     7.39333
        4096     16.6247
        8192      27.212
       16384     50.5133
       32768      97.382
       65536     181.769
      131072     255.522
      262144     439.694
      524288     903.833
     1048576     2014.17
     2097152     4114.81
     4194304     8318.56
     8388608     16760.3
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2    0.339667
           4   0.0926667
           8       0.096
          16    0.163333
          32    0.285333
          64    0.551333
         128    0.912333
         256     1.59267
         512       2.527
        1024     4.84967
        2048     9.58433
        4096      18.715
        8192      34.735
       16384      64.607
       32768     133.853
       65536     277.283
      131072     553.075
      262144     1109.83
      524288     2224.03
     1048576      4445.3
     2097152     8899.47
     4194304     17712.2
     8388608       35580
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2    0.168667
           4    0.112333
           8    0.186333
          16    0.225667
          32    0.301667
          64    0.465667
         128    0.773333
         256     1.12433
         512     1.90333
        1024     3.16667
        2048     5.16567
        4096      10.312
        8192     19.4777
       16384      35.421
       32768      70.161
       65536     125.573
      131072     224.444
      262144     413.509
      524288     914.125
     1048576     2195.51
     2097152     5047.09
     4194304     10524.8
     8388608     21768.9
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2    0.352333
           4   0.0643333
           8   0.0923333
          16    0.167333
          32    0.223667
          64       0.434
         128    0.775333
         256     1.43767
         512     2.23367
        1024       3.599
        2048     7.17333
        4096     14.0553
        8192     28.1037
       16384     53.2463
       32768     109.241
       65536     217.404
      131072     439.293
      262144     871.242
      524288     1746.88
     1048576     3485.31
     2097152     6921.48
     4194304     13871.2
     8388608     27721.6
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=sppp 
        size     Runtime
           2       0.197
           4       0.109
           8    0.170667
          16       0.273
          32    0.355333
          64    0.738333
         128    0.970667
         256     2.23767
