model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2   0.0893333
           4   0.0703333
           8       0.103
          16    0.200333
          32    0.363667
          64    0.818667
         128     1.59667
         256       4.184
         512       7.867
        1024      14.936
        2048     25.2007
        4096     42.9603
        8192     79.5613
       16384     138.426
       32768     272.837
       65536     543.337
      131072     1093.07
      262144     2179.98
      524288     4335.44
     1048576     8486.22
     2097152     16794.2
     4194304     33579.3
     8388608     66883.5
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2       0.424
           4    0.142667
           8    0.216333
          16    0.332333
          32    0.612667
          64     1.11567
         128     2.00967
         256       2.884
         512     5.72633
        1024     11.3887
        2048     20.7663
        4096     31.2667
        8192      62.502
       16384     123.771
       32768     241.365
       65536     478.448
      131072     955.986
      262144     1910.46
      524288     3820.71
     1048576     7637.07
     2097152     15271.5
     4194304     30541.1
     8388608     61039.5
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp 
        size     Runtime
           2    0.246667
           4       0.185
           8    0.290333
          16    0.391333
          32    0.594667
          64       1.077
         128     1.95367
         256     3.78533
         512       6.222
        1024     11.1127
        2048      20.001
        4096       33.95
        8192     62.7053
       16384     119.827
       32768     196.279
       65536     284.951
      131072     555.606
      262144     1149.16
      524288     2345.86
     1048576     4489.76
     2097152     8905.46
     4194304     17519.4
     8388608     34976.3
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp 
        size     Runtime
           2    0.420333
           4        0.16
           8       0.152
          16    0.247667
          32    0.442667
          64    0.811333
         128     1.42133
         256     2.26833
         512     3.28067
        1024     6.35033
        2048     12.6343
        4096     21.9193
        8192      33.241
       16384      66.637
       32768     132.538
       65536      263.26
      131072     522.958
      262144     1043.75
      524288     2089.21
     1048576     4176.94
     2097152     8371.95
     4194304     16765.3
     8388608     33631.6
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp 
        size     Runtime
           2    0.253333
           4    0.265333
           8         0.3
          16    0.393333
          32    0.526667
          64       0.784
         128     1.21267
         256       1.995
         512     3.45133
        1024       6.111
        2048     10.6233
        4096      21.562
        8192     41.2147
       16384      81.478
       32768     145.455
       65536      242.45
      131072     401.814
      262144     743.983
      524288      1504.5
     1048576     3162.46
     2097152     6258.33
     4194304     12296.9
     8388608     24697.1
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp 
        size     Runtime
           2    0.386333
           4    0.159333
           8    0.169667
          16    0.208667
          32    0.363333
          64    0.555333
         128       0.937
         256       1.743
         512     2.50533
        1024     4.97633
        2048     9.69533
        4096     18.8243
        8192     34.5073
       16384       67.71
       32768     133.394
       65536     268.199
      131072     520.011
      262144     1025.61
      524288     2043.12
     1048576     4076.25
     2097152     8175.45
     4194304     16320.4
     8388608     32645.9
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=sppppppp 
        size     Runtime
           2    0.310333
           4        0.27
           8    0.254667
          16    0.459667
          32    0.585667
          64    0.849333
         128       1.873
         256     2.70867
         512     2.57633
        1024     4.42367
        2048     7.15767
        4096      12.453
        8192     26.2927
       16384     49.3217
       32768     97.7197
       65536     189.518
      131072     359.873
      262144     724.822
      524288     1651.55
     1048576     3567.75
     2097152     7642.72
     4194304     15678.7
     8388608     32281.6
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=sppppppp 
        size     Runtime
           2       0.371
           4       0.279
           8    0.175667
          16    0.207333
          32       0.245
          64    0.428333
         128    0.707333
         256     1.41833
         512     2.20167
        1024     3.95633
        2048     7.95267
        4096     15.7503
        8192     30.2447
       16384     59.8867
       32768     118.977
       65536     238.756
      131072     479.567
      262144      954.61
      524288     1908.79
     1048576     3781.59
     2097152     7639.92
     4194304     15287.9
     8388608     30462.5
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=sppppppp 
        size     Runtime
           2       0.255
           4    0.205333
           8       0.331
          16       0.497
          32    0.819667
          64     1.39067
         128       1.539
         256       2.757
         512        4.49
        1024     6.89067
        2048     13.7227
        4096     20.5233
        8192      39.541
       16384      71.073
       32768     147.508
       65536     276.303
      131072      528.98
      262144     1134.44
      524288     2482.19
     1048576     5274.33
     2097152     10890.3
     4194304     21804.8
     8388608       44299
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=sppppppp 
        size     Runtime
           2    0.319333
           4       0.222
           8    0.230667
          16       1.036
          32       0.352
          64       0.354
         128    0.578667
         256     1.14333
         512     2.17267
        1024       3.979
        2048     7.96833
        4096     15.5257
        8192     30.5007
       16384     61.3543
       32768     121.145
       65536      241.82
      131072     483.653
      262144     964.422
      524288     1918.96
     1048576      3854.1
     2097152     7691.61
     4194304     15369.9
     8388608     30677.9
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=sppppppp 
        size     Runtime
           2       0.163
           4    0.183333
           8    0.406333
          16       0.589
          32     1.02933
          64     1.37167
         128       1.612
         256       2.439
         512     5.88033
        1024       8.779
        2048     15.2287
        4096      23.198
        8192      41.561
       16384     87.4477
       32768     148.528
       65536     336.662
      131072     624.633
      262144     1464.86
      524288     3023.35
     1048576     6078.48
     2097152     12248.9
     4194304     24710.1
     8388608     49475.7
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=sppppppp 
        size     Runtime
           2       0.415
           4       0.274
           8       0.464
          16    0.381333
          32    0.293667
          64    0.486667
         128    0.876667
         256       1.252
         512     2.18567
        1024       3.937
        2048     7.69833
        4096     15.6327
        8192       30.32
       16384     61.6767
       32768       122.6
       65536     245.936
      131072     493.232
      262144     982.114
      524288     1957.68
     1048576     3919.45
     2097152      7836.2
     4194304       15730
     8388608     31953.9
