model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2    0.138667
           4       0.119
           8    0.190667
          16       0.353
          32    0.852333
          64       1.804
         128     4.18033
         256     10.6507
         512     13.5737
        1024      25.112
        2048     42.8467
        4096     76.1267
        8192     144.262
       16384     276.416
       32768     552.054
       65536     1119.48
      131072     2170.85
      262144     4308.24
      524288     8495.56
     1048576     16875.8
     2097152     33495.5
     4194304     66922.7
     8388608      133560
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2        0.52
           4       0.279
           8    0.459333
          16    0.899333
          32       1.687
          64       2.086
         128     3.46533
         256     6.91233
         512     13.8153
        1024     21.4583
        2048      32.197
        4096     64.1273
        8192     126.216
       16384     244.975
       32768     485.459
       65536     971.648
      131072     1942.38
      262144     3885.37
      524288     7775.31
     1048576     15545.7
     2097152     31089.8
     4194304     62180.2
     8388608      124375
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2    0.312333
           4    0.298667
           8    0.395333
          16    0.641333
          32     1.11733
          64     1.93533
         128       3.546
         256     6.22033
         512      11.672
        1024     19.5597
        2048     34.5987
        4096     64.4167
        8192     121.941
       16384      200.24
       32768     300.151
       65536     568.423
      131072     1173.02
      262144     2329.13
      524288     4504.87
     1048576     8881.06
     2097152     17591.4
     4194304     35148.5
     8388608     69712.3
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2    0.495667
           4       0.263
           8    0.303667
          16    0.546667
          32       0.952
          64     1.66667
         128     2.13867
         256     3.49967
         512     6.94633
        1024     13.5103
        2048      20.935
        4096     33.3703
        8192      66.535
       16384     130.785
       32768     257.624
       65536     513.265
      131072     1023.69
      262144     2045.15
      524288     4088.62
     1048576     8176.22
     2097152     16354.5
     4194304     32707.2
     8388608     65426.4
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp 
        size     Runtime
           2       0.382
           4    0.339333
           8       0.437
          16       0.553
          32       0.797
          64     1.35233
         128       2.536
         256       3.897
         512     6.62867
        1024     11.5513
        2048     22.8607
        4096     44.1183
        8192      84.917
       16384     150.314
       32768     257.794
       65536     405.587
      131072     765.898
      262144     1488.73
      524288      2963.2
     1048576     5519.55
