model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2   0.0623333
           4   0.0393333
           8   0.0646667
          16    0.104333
          32    0.174333
          64    0.347333
         128    0.687667
         256       1.435
         512     3.13367
        1024     7.20333
        2048     14.4463
        4096     21.6623
        8192      34.372
       16384     63.5617
       32768     108.499
       65536     214.251
      131072     421.261
      262144     848.146
      524288     1746.87
     1048576     3490.93
     2097152      6856.4
     4194304     13919.1
     8388608     27850.3
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2    0.178333
           4       0.082
           8    0.171333
          16    0.304333
          32    0.614667
          64     1.38733
         128     2.15567
         256     3.37833
         512     7.42133
        1024     12.2017
        2048      23.066
        4096     38.8023
        8192      77.424
       16384     154.753
       32768      304.98
       65536     612.965
      131072     1225.23
      262144     2434.34
      524288      4878.6
     1048576     9737.64
     2097152     19525.2
     4194304     38979.5
     8388608     78181.7
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.159333
           4    0.116667
           8       0.199
          16    0.229667
          32    0.388333
          64    0.690333
         128       1.218
         256     2.47567
         512       4.382
        1024       6.888
        2048     14.4783
        4096     25.8113
        8192      47.033
       16384      86.433
       32768     168.712
       65536     258.085
      131072     460.464
      262144     928.783
      524288     2046.63
     1048576     4249.13
     2097152     8669.19
     4194304     17339.3
     8388608     34472.6
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.342667
           4    0.100333
           8    0.160333
          16    0.253667
          32       0.528
          64    0.985333
         128     1.60367
         256     2.55067
         512     4.94667
        1024     10.3793
        2048     19.3747
        4096      32.491
        8192     56.1773
       16384     111.765
       32768      227.63
       65536     469.327
      131072      934.69
      262144     1863.02
      524288      3721.4
     1048576     7446.12
     2097152     14908.4
     4194304     29687.5
     8388608     59600.6
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2       0.198
           4    0.105333
           8    0.166333
          16    0.277333
          32    0.422333
          64    0.738333
         128     1.39267
         256     2.97833
         512     5.67467
        1024     11.1993
        2048     16.4623
        4096     29.8277
        8192      58.146
       16384     100.561
       32768     196.672
       65536     368.845
      131072     636.615
      262144     1253.74
      524288     2677.97
     1048576     5384.62
     2097152     10773.8
     4194304     21114.9
     8388608     42736.1
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2       0.194
           4       0.048
           8    0.142333
          16    0.210667
          32    0.400667
          64       0.782
         128     1.41967
         256     2.01433
         512     3.83967
        1024     7.49967
        2048      15.057
        4096      27.302
        8192     51.5067
       16384     102.552
       32768     207.281
       65536     417.314
      131072     802.147
      262144     1598.97
      524288      3183.3
     1048576     6347.77
     2097152     12668.4
     4194304       25290
     8388608     50806.2
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=spsp 
        size     Runtime
           2        0.17
           4       0.108
           8    0.136333
          16       0.239
          32    0.436667
          64       0.755
         128     1.74167
         256       3.059
         512     5.22633
        1024     10.5503
        2048     17.7217
        4096     30.2223
        8192     59.4423
       16384      110.51
       32768     233.569
       65536     412.184
      131072     823.979
      262144     1519.17
      524288     3341.43
     1048576     6584.44
     2097152     12996.1
     4194304     25806.7
     8388608     51602.6
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=spsp 
        size     Runtime
           2       0.127
           4   0.0506667
           8    0.118667
          16    0.269333
          32       0.333
          64    0.621333
         128       1.111
         256     1.73967
         512     3.32333
        1024       6.559
        2048     12.6663
        4096     24.0027
        8192      46.599
       16384     92.7543
       32768     184.881
       65536     369.459
      131072     719.653
      262144      1496.7
      524288     2994.24
     1048576     5978.56
     2097152     11961.2
     4194304       23893
     8388608     47931.1
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=spsp 
        size     Runtime
           2    0.162667
           4       0.131
           8    0.191667
