model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2       0.103
           4   0.0916667
           8       0.129
          16       0.215
          32    0.348667
          64    0.955333
         128           2
         256     4.56333
         512     8.82567
        1024      16.056
        2048     25.7057
        4096     41.8813
        8192     79.3473
       16384     141.005
       32768     272.655
       65536     549.561
      131072     1079.65
      262144     2153.73
      524288     4338.39
     1048576     8436.77
     2097152     16969.4
     4194304       33718
     8388608     67393.5
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2       0.435
           4    0.159667
           8    0.278333
          16    0.521333
          32       0.957
          64     1.83633
         128       2.189
         256     3.47433
         512     6.87467
        1024     13.7277
        2048     23.1087
        4096       32.66
        8192     65.6017
       16384     178.753
       32768     306.777
       65536     599.597
      131072     1222.29
      262144     2411.92
      524288      4946.3
     1048576     9717.54
     2097152       19824
     4194304     38964.2
     8388608     79096.2
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2    0.263333
           4    0.264333
           8    0.312667
          16    0.549333
          32    0.757667
          64       1.542
         128     2.66167
         256     4.95333
         512     7.18833
        1024      14.529
        2048     26.6873
        4096     50.2377
        8192      90.652
       16384     181.905
       32768     256.729
       65536     478.377
      131072     961.512
      262144     1982.77
      524288      4039.3
     1048576     8195.18
     2097152     16257.1
     4194304     32421.7
     8388608     64990.7
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2        0.46
           4       0.274
           8       0.306
          16       0.502
          32       0.902
          64       1.819
         128     2.13667
         256       3.825
         512     7.29267
        1024     15.1013
        2048     24.7237
        4096     43.6083
        8192     83.1287
       16384     166.533
       32768     345.511
       65536     686.417
      131072     1371.46
      262144     2737.24
      524288     5481.07
     1048576     10959.2
     2097152     21988.8
     4194304     43913.6
     8388608       87744
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2       0.243
           4        0.26
           8    0.338333
          16    0.475333
          32       0.776
          64     1.64833
         128       3.411
         256     6.04067
         512     10.2883
        1024     17.6347
        2048      27.721
        4096     56.3893
        8192     111.019
       16384     202.006
       32768      328.33
       65536     574.893
      131072     1145.57
      262144      2352.8
      524288     4791.05
     1048576     9542.21
     2097152     19208.3
     4194304     38153.1
     8388608     76656.5
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2    0.230333
           4       0.186
           8    0.272333
          16    0.354667
          32    0.662333
          64       1.105
         128     1.88467
         256       2.801
         512       5.605
        1024     10.7927
        2048      20.368
        4096     38.0517
        8192      75.194
       16384     147.392
       32768     291.452
       65536      563.01
      131072     1126.52
      262144     2231.03
      524288     4458.16
     1048576     8918.63
     2097152     17891.7
     4194304     35942.4
     8388608     71646.2
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=spspspsp 
        size     Runtime
           2       0.258
           4       0.219
           8    0.399667
          16    0.479667
          32    0.837333
          64        1.68
         128     3.04633
         256       5.234
         512       8.962
        1024      15.364
        2048      28.063
        4096     54.9677
        8192     102.505
       16384     215.081
       32768     326.632
       65536     650.511
      131072      1338.6
      262144     2693.38
      524288     5344.62
     1048576     10761.4
     2097152     21420.2
     4194304     42910.1
     8388608     85585.4
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=spspspsp 
        size     Runtime
           2    0.469667
           4       0.309
           8       0.306
          16       0.558
          32    0.926667
          64       1.653
         128     1.92633
         256       3.615
         512       7.265
        1024     14.0863
        2048     23.6427
        4096      45.738
        8192     89.3497
       16384     166.483
       32768     335.794
       65536     639.238
      131072     1234.43
      262144     2523.04
      524288      4991.2
