model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2       0.143
           4        0.14
           8       0.222
          16       0.425
          32    0.987333
          64       1.977
         128       4.686
         256     7.80533
         512     16.2817
        1024      25.533
        2048     43.1627
        4096     79.8807
        8192     145.161
       16384     278.501
       32768      555.54
       65536     1099.62
      131072     2219.74
      262144     4368.32
      524288     8656.18
     1048576     17127.4
     2097152     34450.1
     4194304     69024.3
     8388608      138741
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2    0.553333
           4       0.303
           8    0.515333
          16    0.953333
          32     1.79667
          64     2.57367
         128       3.525
         256     7.00433
         512      13.957
        1024     24.1883
        2048      32.584
        4096     65.2487
        8192     138.294
       16384     262.106
       32768     523.757
       65536     1048.96
      131072     2087.21
      262144     4198.75
      524288     8366.27
     1048576     16882.2
     2097152     33954.6
     4194304     67524.1
     8388608      134763
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2    0.375333
           4       0.417
           8    0.440333
          16        0.75
          32     1.14467
          64       2.113
         128     4.06867
         256     5.72533
         512     9.74967
        1024       20.75
        2048     35.2373
        4096     65.6503
        8192      121.07
       16384     214.551
       32768     302.939
       65536     616.187
      131072     1231.76
      262144     2447.11
      524288     4693.81
     1048576     9126.51
     2097152     18354.6
     4194304     36835.4
     8388608     73290.9
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2    0.594333
           4    0.327333
           8    0.426333
          16    0.617333
          32       1.055
          64       1.918
         128     2.38367
         256     3.63133
         512     7.12167
        1024     14.2067
        2048     24.4217
        4096     35.4473
        8192     81.0323
       16384     175.306
       32768     392.069
       65536     748.697
      131072     1484.62
      262144     3016.68
      524288     5961.29
     1048576       11892
     2097152     23855.2
     4194304     47685.9
     8388608     95147.2
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2    0.396333
           4    0.353667
           8    0.449333
          16       0.606
          32     1.04267
          64     1.64533
         128     2.41333
         256       4.594
         512     8.43767
        1024     19.1247
        2048     35.2833
        4096      61.758
        8192     108.794
       16384      208.04
       32768      323.41
       65536     601.108
      131072     1193.89
      262144     2374.56
      524288     4831.76
     1048576     9555.33
     2097152     19069.7
     4194304     38124.3
     8388608     75906.8
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2    0.499333
           4       0.316
           8       0.385
          16    0.458667
          32    0.716667
          64       1.162
         128     2.03067
         256     3.29767
         512     5.91267
        1024      11.488
        2048     22.5053
        4096     40.5307
        8192     79.1147
       16384     156.405
       32768     307.002
       65536     601.391
      131072     1187.87
      262144      2386.9
      524288     4772.59
     1048576     9600.08
     2097152     19152.4
     4194304     38337.1
     8388608     76449.4
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=spspspspspspspsp 
        size     Runtime
           2    0.407333
           4    0.404333
           8    0.486667
          16    0.635333
          32     1.60967
          64     1.75767
         128     2.75833
         256     4.24167
         512     6.98233
        1024      12.358
        2048     24.1553
        4096     54.7657
        8192     92.4583
       16384     176.586
       32768     307.754
       65536     613.813
      131072      1218.7
      262144     2493.82
      524288     5047.69
     1048576     10104.8
     2097152     20306.7
     4194304     40172.4
     8388608     81172.6
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=spspspspspspspsp 
        size     Runtime
           2    0.630333
           4    0.418333
           8    0.462667
          16       0.636
          32    0.970667
          64     1.36367
         128     1.80533
         256     3.37133
         512     6.55033
        1024     12.9963
        2048     23.5467
        4096       45.97
        8192     91.8343
       16384     174.252
       32768     326.671
       65536     657.878
      131072     1325.47
      262144     2652.34
      524288     5349.19
     1048576     10560.3
     2097152     21203.5
     4194304     42567.3
     8388608     85247.3
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=spspspspspspspsp 
        size     Runtime
           2       0.368
           4    0.308333
           8       0.446
          16    0.867667
          32     1.01433
          64     3.25567
         128       2.881
         256     4.31967
         512     8.77933
        1024     14.3233
        2048     26.8383
        4096     47.2623
        8192      88.159
       16384     172.831
       32768     335.189
       65536     676.758
      131072     1382.62
      262144     2739.34
      524288     5524.27
     1048576     11335.9
     2097152     22442.1
     4194304     44792.3
     8388608     89507.1
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=spspspspspspspsp 
        size     Runtime
           2    0.795333
           4    0.569333
           8       0.535
          16    0.675333
          32     1.13067
          64     1.43333
         128     2.04133
         256     3.74867
         512     7.22233
        1024      13.727
        2048     23.9637
        4096      46.503
        8192      93.436
       16384     187.387
       32768     375.887
       65536     748.763
      131072     1495.31
      262144     3011.21
      524288     6009.16
     1048576     12001.5
     2097152     24109.8
     4194304       48310
     8388608     96427.4
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=spspspspspspspsp 
        size     Runtime
           2       0.262
           4    0.270667
           8       0.648
          16    0.883333
          32       1.297
          64        1.92
         128     2.97267
         256     5.12133
         512       7.665
        1024     15.6413
        2048     23.7563
        4096     45.6817
        8192     89.7317
       16384     173.901
       32768     335.161
       65536     685.051
      131072     1368.79
      262144     2838.06
      524288      5745.3
     1048576     11490.2
     2097152     23146.3
     4194304     45964.5
     8388608     92163.9
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=spspspspspspspsp 
        size     Runtime
           2    0.626667
           4    0.376333
           8       0.569
          16       0.858
          32       1.216
          64     1.61933
         128     2.35767
         256       4.365
         512       7.641
        1024      15.346
        2048     26.6167
        4096     50.6687
        8192     102.033
       16384     204.755
       32768     409.928
       65536     820.505
      131072     1640.83
      262144     3274.37
      524288     6540.52
     1048576       13096
