model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2    0.173333
           4       0.141
           8    0.241333
          16    0.403667
          32        0.73
          64     1.40833
         128     2.72967
         256     5.30033
         512     6.80667
        1024      14.563
        2048     26.4877
        4096     50.7837
        8192     92.6753
       16384     179.398
       32768     260.926
       65536     417.683
      131072     883.459
      262144     1791.05
      524288     3611.49
     1048576     7275.96
     2097152     14565.3
     4194304     28999.1
     8388608     57944.8
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2       0.343
           4    0.109667
           8       0.237
          16       0.451
          32    0.861333
          64     1.59733
         128     1.98633
         256     3.67433
         512     8.26567
        1024      15.839
        2048      23.551
        4096      40.145
        8192      81.426
       16384     161.669
       32768     323.773
       65536      640.46
      131072     1284.75
      262144     2556.99
      524288     5130.74
     1048576     10240.5
     2097152     20431.5
     4194304       40939
     8388608     81930.9
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2    0.176333
           4    0.150667
           8       0.224
          16    0.401667
          32    0.697333
          64        1.34
         128     2.55367
         256     4.67033
         512     8.24133
        1024      14.992
        2048     27.7987
        4096     50.3147
        8192     101.271
       16384      175.11
       32768     311.673
       65536     514.261
      131072     978.512
      262144     1932.12
      524288     4039.85
     1048576     7913.17
     2097152     15767.5
     4194304     31319.7
     8388608     62492.8
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2    0.343333
           4    0.122333
           8    0.208667
          16       0.461
          32       0.819
          64     1.04567
         128     2.03333
         256       3.246
         512     6.28067
        1024     12.0253
        2048      19.649
        4096      37.096
        8192     73.6367
       16384     154.531
       32768     313.994
       65536     628.419
      131072     1271.58
      262144     2525.74
      524288     5079.58
     1048576     10171.8
     2097152     20370.6
     4194304     40603.8
     8388608     81405.6
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2       0.184
           4    0.142333
           8    0.222333
          16       0.378
          32    0.735667
          64     1.39867
         128     2.91967
         256     5.05533
         512       8.543
        1024      15.855
        2048      27.461
        4096     52.6427
        8192     96.1307
       16384     176.499
       32768     330.808
       65536     518.043
      131072      1005.7
      262144     2076.77
      524288     4104.26
     1048576      8393.7
     2097152     16664.6
     4194304     32957.9
     8388608     66098.5
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2    0.335333
           4    0.118667
           8    0.196667
          16    0.325333
          32    0.601667
          64       1.202
         128     1.89233
         256     2.81933
         512        5.58
        1024     11.1153
        2048     19.5477
        4096      38.707
        8192     75.8053
       16384     143.627
       32768     290.822
       65536     573.487
      131072     1125.63
      262144     2210.97
      524288     4396.89
     1048576     8808.51
     2097152       17593
     4194304     35198.4
     8388608     70381.1
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssss 
        size     Runtime
           2    0.138333
           4    0.165333
           8       0.217
          16    0.369333
          32       0.718
          64     1.23567
         128     2.74033
         256     4.62967
         512     9.42933
        1024      15.218
        2048     24.7517
        4096       44.11
        8192     91.8683
       16384     160.902
       32768     299.702
       65536     600.777
      131072     1099.98
      262144     2136.57
      524288     4303.92
     1048576      8600.1
     2097152     17208.2
     4194304     34273.3
     8388608     68617.5
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssss 
        size     Runtime
           2    0.339667
           4    0.163667
           8       0.206
          16    0.373667
          32    0.684333
          64     1.29067
         128     1.83867
         256     2.85867
         512     5.74567
        1024     11.2797
        2048     20.8177
        4096      38.538
        8192      76.439
       16384     150.194
       32768     292.948
       65536     594.763
      131072     1168.06
      262144     2382.16
      524288     4780.29
     1048576     9601.59
     2097152     19193.4
     4194304     38252.1
     8388608     76515.7
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssss 
        size     Runtime
           2    0.115333
           4    0.147667
           8    0.233333
          16    0.449333
          32       0.909
          64       1.695
         128     3.29967
         256     5.74767
         512     7.52633
        1024      14.591
        2048     24.5787
        4096      38.834
        8192      75.459
