model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2       0.088
           4    0.109667
           8    0.149667
          16    0.213667
          32    0.369333
          64    0.701333
         128       1.907
         256     4.30433
         512     9.91633
        1024      17.211
        2048     25.8843
        4096     42.0253
        8192     78.5097
       16384     140.367
       32768     270.334
       65536     545.317
      131072     1101.56
      262144     2204.18
      524288     4355.42
     1048576     8606.01
     2097152     17220.9
     4194304     34346.8
     8388608     68185.6
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2    0.447333
           4       0.189
           8    0.284667
          16    0.521667
          32    0.929667
          64     1.80233
         128     2.39433
         256     3.46167
         512     6.93967
        1024     13.8233
        2048     23.5157
        4096      32.642
        8192     64.8157
       16384     148.763
       32768     278.205
       65536     555.715
      131072     1109.58
      262144     2223.41
      524288     4432.92
     1048576     8898.07
     2097152       17702
     4194304     35425.6
     8388608     70800.2
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.270667
           4       0.259
           8    0.347667
          16    0.519667
          32    0.792667
          64     1.45233
         128       2.761
         256     4.54133
         512     7.20567
        1024      14.485
        2048     27.8863
        4096      52.033
        8192     99.5283
       16384     188.893
       32768     258.035
       65536     465.332
      131072     948.524
      262144     1946.99
      524288     3951.74
     1048576     7974.79
     2097152     15926.9
     4194304       31705
     8388608     63823.7
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2        0.46
           4    0.218333
           8    0.343667
          16    0.540667
          32    0.986667
          64       1.532
         128     2.22133
         256     4.10733
         512     7.61767
        1024     15.1393
        2048      28.116
        4096      47.225
        8192     84.6043
       16384     170.183
       32768     340.056
       65536     676.557
      131072      1350.5
      262144     2696.61
      524288     5411.23
     1048576     10832.8
     2097152     21663.9
     4194304     43290.7
     8388608     86597.3
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2    0.249333
           4    0.262333
           8    0.338333
          16    0.566333
          32       0.893
          64     1.61667
         128       2.626
         256        5.25
         512       8.266
        1024     13.2853
        2048     25.8663
        4096     45.6663
        8192     92.8803
       16384     175.068
       32768     274.702
       65536     501.384
      131072      1031.7
      262144     2116.66
      524288     4264.93
     1048576     8738.03
     2097152       17579
     4194304     34849.9
     8388608     70030.5
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2       0.455
           4    0.246667
           8       0.313
          16    0.472667
          32    0.724333
          64     1.19367
         128     1.73033
         256       2.826
         512       5.339
        1024     10.1437
        2048     19.0687
        4096     36.3297
        8192     71.1197
       16384     142.352
       32768     278.428
       65536     553.395
      131072     1073.98
      262144     2130.27
      524288     4247.54
     1048576     8563.83
     2097152     17141.9
     4194304     34175.3
     8388608     68566.6
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssss 
        size     Runtime
           2    0.321667
           4    0.266667
           8    0.388333
          16    0.628333
          32       0.984
          64     1.62067
         128       2.605
         256     5.11533
         512     8.23967
        1024     13.7673
        2048      24.269
        4096     45.1827
        8192     85.9327
       16384     156.167
       32768     282.868
       65536     530.757
      131072     1077.48
      262144     2192.21
      524288      4574.9
     1048576      9140.8
     2097152     18466.4
     4194304     36519.5
     8388608     73559.9
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssss 
        size     Runtime
           2       0.305
           4       0.232
           8    0.279333
          16       0.436
          32    0.741333
          64     1.06933
         128     1.71233
         256       2.891
         512       5.481
        1024      10.668
        2048      20.608
        4096     39.1977
        8192     77.5797
       16384     154.788
       32768     301.232
       65536     592.196
      131072     1211.81
      262144     2507.21
      524288     5011.66
     1048576       10031
     2097152     20054.5
     4194304     40146.8
     8388608     80028.7
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssss 
        size     Runtime
           2    0.209333
           4       0.237
           8    0.341333
          16       0.597
          32     1.26733
          64     1.96867
         128     3.46933
         256     6.60133
         512     7.64267
        1024      12.504
        2048      23.665
        4096     39.8313
        8192     76.7943
       16384     143.125
       32768     279.214
       65536     555.693
      131072      1097.9
      262144      2281.1
      524288     4631.94
     1048576     9277.57
     2097152     18694.8
     4194304     37227.6
     8388608       74635
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssss 
        size     Runtime
           2    0.451667
           4    0.244333
           8    0.520333
          16       0.499
          32    0.754333
          64     1.10567
         128       2.196
         256       3.591
         512     6.40633
        1024     12.4267
        2048       23.06
        4096     40.9157
        8192     82.3643
       16384     165.456
       32768     328.856
       65536     653.467
      131072     1298.26
      262144     2584.38
      524288     5218.49
     1048576     10524.3
     2097152     20970.5
     4194304     42009.8
     8388608     84905.1
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssss 
        size     Runtime
           2    0.156333
           4        0.25
           8       0.394
          16       0.676
          32       1.206
          64     1.84233
         128     3.90233
         256       5.675
         512       9.013
        1024     12.9413
        2048     21.5507
        4096      39.875
        8192     72.9123
       16384     140.855
       32768     284.956
       65536      556.63
      131072      1173.1
      262144     2301.76
      524288     4678.14
     1048576     9377.89
     2097152     18703.7
     4194304     37587.2
     8388608     75307.2
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssss 
        size     Runtime
           2    0.254333
           4    0.178333
           8    0.249667
          16     5.06367
          32    0.805333
          64     1.64033
         128     2.29633
         256        3.64
         512       6.917
        1024     13.8233
        2048      23.891
        4096      45.847
        8192     92.9077
       16384     186.168
       32768      371.88
       65536     741.065
      131072     1479.96
      262144     2962.91
      524288     5939.12
     1048576     11868.2
     2097152     23737.9
     4194304       47661
     8388608     96590.6
