model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.147333
           4    0.135667
           8    0.213667
          16       0.382
          32       0.713
          64     1.56533
         128     4.49933
         256     9.69733
         512     17.8467
        1024      26.009
        2048      43.863
        4096     75.6813
        8192     145.668
       16384     284.017
       32768     558.175
       65536     1117.71
      131072     2273.69
      262144     4501.85
      524288     8777.83
     1048576     17536.9
     2097152     34778.7
     4194304     69166.4
     8388608      139494
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.557333
           4       0.303
           8    0.537667
          16       0.987
          32     1.83833
          64     2.85267
         128     3.55533
         256     7.07867
         512      14.106
        1024     23.4753
        2048     32.7543
        4096     65.3963
        8192     140.743
       16384     263.332
       32768     525.321
       65536     1054.95
      131072     2099.36
      262144     4228.87
      524288     8419.08
     1048576     16902.7
     2097152     33625.7
     4194304     67628.3
     8388608      134401
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss 
        size     Runtime
           2       0.404
           4       0.399
           8    0.566333
          16    0.818667
          32     1.27533
          64     2.24333
         128     3.89633
         256     7.06767
         512      11.526
        1024     20.5037
        2048      35.359
        4096       64.77
        8192     123.934
       16384     234.796
       32768     311.017
       65536     621.878
      131072     1221.15
      262144     2447.59
      524288     4769.87
     1048576     9406.24
     2097152     18576.5
     4194304     37049.1
     8388608     73657.2
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss 
        size     Runtime
           2       0.559
           4    0.327667
           8    0.414667
          16    0.608333
          32     1.33533
          64     2.37433
         128     3.10067
         256     5.55033
         512     11.8063
        1024     19.5423
        2048     30.4657
        4096      47.836
        8192     90.7733
       16384     193.819
       32768     391.837
       65536     778.827
      131072     1520.99
      262144     3041.22
      524288        6046
     1048576     12054.8
     2097152     24132.5
     4194304     48176.8
     8388608     96295.6
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss 
        size     Runtime
           2    0.393667
           4    0.381667
           8    0.493333
          16    0.672667
          32        1.18
          64     1.86067
         128       2.559
         256     4.87033
         512     8.01467
        1024     15.5027
        2048     30.2797
        4096     53.6173
        8192     100.202
       16384     191.001
       32768     317.939
       65536     584.769
      131072     1165.74
      262144     2363.68
      524288     4707.54
     1048576     9346.28
     2097152     18630.5
     4194304     37078.6
     8388608     74256.8
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss 
        size     Runtime
           2    0.537333
           4       0.299
           8    0.411667
          16    0.593667
          32    0.853333
          64     1.30467
         128       1.926
         256     3.79533
         512     6.26533
        1024      14.107
        2048      24.153
        4096      44.536
        8192     86.1417
       16384     168.661
       32768     334.821
       65536     649.517
      131072     1283.06
      262144     2558.69
      524288     5102.92
     1048576       10196
     2097152     20365.8
     4194304     40649.8
     8388608     81320.1
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssssssssssss 
        size     Runtime
           2       0.451
           4       0.447
           8    0.486667
          16    0.853333
          32     1.36533
          64     1.75733
         128     2.70033
         256       4.093
         512     6.72867
        1024      12.201
        2048      21.574
        4096     42.5077
        8192     83.8077
       16384     152.611
       32768     279.565
       65536     559.335
      131072     1137.76
      262144     2339.11
      524288     4771.03
     1048576      9590.6
     2097152     19173.4
     4194304     38497.4
     8388608     76700.8
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssssssssssss 
        size     Runtime
           2       0.547
           4    0.432667
           8    0.528667
          16    0.704667
          32    0.937333
          64     1.33033
         128     1.77633
         256     3.13233
         512       6.014
        1024     11.8233
        2048     21.3083
        4096      41.528
        8192     80.3403
       16384     158.077
       32768      312.71
       65536     621.905
      131072     1252.72
      262144     2557.03
      524288     5113.53
     1048576     10210.3
     2097152     20520.5
     4194304     40838.5
     8388608     81850.5
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssssssssssss 
        size     Runtime
           2    0.306333
           4    0.393667
           8    0.529667
          16    0.680667
          32     1.20233
          64     1.69867
         128     4.67467
         256       4.503
         512     7.03533
        1024     10.9413
        2048      21.241
        4096      38.893
        8192     76.4393
       16384     147.505
       32768     292.839
       65536     582.507
      131072     1168.16
      262144     2357.92
      524288     4787.01
     1048576     9766.26
     2097152     19614.8
     4194304     39009.9
     8388608     78505.8
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssssssssssss 
        size     Runtime
           2    0.511667
           4    0.477667
           8       0.536
          16    0.556333
          32    0.777333
          64       1.635
         128     2.12367
         256     3.58167
         512     6.60733
        1024      13.021
        2048     23.4373
        4096     43.0373
