model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2   0.0353333
           4       0.014
           8       0.014
          16   0.0156667
          32       0.016
          64       0.024
         128   0.0653333
         256       0.087
         512    0.135333
        1024        0.25
        2048    0.426333
        4096     1.17433
        8192     2.44867
       16384     5.24267
       32768     10.0663
       65536     18.2707
      131072      30.105
      262144      57.778
      524288     105.929
     1048576     211.902
     2097152     483.329
     4194304     911.455
     8388608     2144.07
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppp 
        size     Runtime
           2    0.247667
           4  0.00766667
           8  0.00933333
          16   0.0173333
          32   0.0206667
          64       0.037
         128       0.059
         256    0.102333
         512    0.218667
        1024       0.432
        2048    0.792667
        4096     1.35067
        8192     1.97367
       16384        3.18
       32768     6.49533
       65536     13.7253
      131072       24.83
      262144     42.7853
      524288     76.5587
     1048576     135.515
     2097152     274.205
     4194304     553.854
     8388608     1091.52
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2   0.0876667
           4   0.0306667
           8   0.0316667
          16       0.029
          32   0.0463333
          64   0.0676667
         128       0.075
         256    0.149333
         512    0.213333
        1024    0.505667
        2048    0.835667
        4096     1.78167
        8192     3.55833
       16384       5.561
       32768     10.9853
       65536     16.1637
      131072     32.5803
      262144      62.478
      524288     118.945
     1048576     212.798
     2097152     336.636
     4194304      581.86
     8388608     1244.57
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppp 
        size     Runtime
           2    0.225667
           4       0.005
           8       0.011
          16   0.0156667
          32   0.0183333
          64       0.032
         128   0.0446667
         256       0.094
         512    0.201667
        1024       0.415
        2048       0.743
        4096     1.48867
        8192       1.992
       16384     3.46433
       32768     6.81867
       65536     12.7083
      131072     20.6337
      262144     39.2833
      524288     71.5917
     1048576     145.034
     2097152     349.483
     4194304     684.065
     8388608      1333.3
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2       0.065
           4   0.0316667
           8   0.0373333
          16       0.033
          32   0.0486667
          64   0.0796667
         128       0.085
         256    0.127667
         512    0.226333
        1024    0.392333
        2048    0.842667
        4096     1.62233
        8192     3.10033
       16384        5.71
       32768      11.055
       65536     15.9133
      131072     29.0283
      262144     51.5163
      524288     108.695
     1048576     176.952
     2097152     337.625
     4194304     560.298
     8388608     1044.67
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=sppp 
        size     Runtime
           2       0.217
           4  0.00366667
           8  0.00566667
          16  0.00833333
          32   0.0243333
          64   0.0483333
         128       0.066
         256    0.104667
         512    0.131333
        1024    0.393333
        2048    0.790667
        4096     1.40467
        8192       2.564
       16384       4.769
       32768       9.153
       65536      18.741
      131072     30.7473
      262144      54.028
      524288     109.892
     1048576     251.617
     2097152     704.649
     4194304      1536.8
     8388608     3098.52
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=sppp 
        size     Runtime
           2    0.105667
           4   0.0363333
           8   0.0423333
          16   0.0483333
          32   0.0463333
          64       0.057
         128   0.0886667
         256    0.150333
         512       0.287
        1024    0.368333
        2048    0.685333
        4096     1.47933
        8192     3.11233
       16384       5.667
       32768     9.70467
       65536      14.605
      131072     23.5577
      262144      54.151
      524288      99.689
     1048576     183.302
     2097152     268.101
     4194304     563.101
     8388608     957.631
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=sppp 
        size     Runtime
           2    0.194667
           4       0.015
           8  0.00533333
          16       0.013
          32        0.02
          64       0.044
         128   0.0796667
         256       0.137
         512    0.219667
        1024    0.593667
        2048     1.10633
        4096       2.251
        8192     4.19067
       16384     8.60067
       32768      17.127
       65536      28.195
      131072     52.2713
      262144     128.613
      524288     354.308
     1048576     1038.82
     2097152     2400.71
     4194304     4824.11
     8388608      9275.8
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=sppp 
        size     Runtime
           2   0.0776667
           4       0.053
           8   0.0506667
          16   0.0856667
          32       0.089
          64   0.0923333
         128   0.0923333
         256       0.113
         512    0.235333
        1024        0.43
        2048    0.689667
        4096     1.43667
        8192       2.981
       16384     3.58833
       32768       6.783
       65536       12.87
      131072     20.9103
      262144     42.1997
      524288     82.0853
     1048576     140.052
     2097152     289.438
     4194304     512.352
     8388608     967.123
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=sppp 
        size     Runtime
           2    0.252333
           4   0.0206667
           8       0.009
          16       0.008
          32       0.014
          64   0.0493333
         128       0.066
         256    0.164667
         512    0.389333
        1024    0.701667
        2048       2.553
        4096     4.71867
        8192     8.87467
       16384     27.3973
       32768     51.8707
       65536     103.744
      131072     256.533
      262144     560.806
      524288     1127.42
     1048576     2286.53
     2097152     4572.87
     4194304     9164.85
     8388608     18182.9
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=sppp 
        size     Runtime
           2   0.0703333
           4   0.0466667
           8   0.0686667
          16   0.0726667
          32       0.105
          64   0.0773333
         128    0.109667
         256    0.169667
         512       0.299
        1024       0.523
        2048       0.762
        4096     1.42767
        8192     3.21133
       16384     4.94133
       32768     10.6097
       65536     13.8247
      131072     20.5077
      262144      37.443
      524288     76.4207
     1048576     128.254
     2097152     283.485
     4194304     530.146
     8388608     1005.81
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=sppp 
        size     Runtime
           2    0.246333
           4  0.00366667
           8       0.005
          16       0.008
          32       0.013
          64   0.0356667
         128   0.0656667
         256       0.114
         512       0.333
        1024    0.788333
        2048     1.30767
        4096       2.045
        8192       3.176
       16384       9.998
       32768      43.298
       65536     121.648
      131072     282.375
      262144     581.767
      524288     1158.71
     1048576     2321.89
     2097152      4648.4
     4194304     9153.76
     8388608     18314.2
