model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2   0.0456667
           4   0.0293333
           8   0.0323333
          16   0.0366667
          32   0.0583333
          64       0.061
         128    0.129333
         256    0.180667
         512    0.414333
        1024    0.810333
        2048     1.71733
        4096       3.931
        8192       7.681
       16384      15.438
       32768     24.4907
       65536      43.734
      131072     94.1993
      262144     168.852
      524288     358.554
     1048576     829.874
     2097152     1807.38
     4194304     3923.15
     8388608     8295.76
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppp 
        size     Runtime
           2    0.262667
           4   0.0123333
           8       0.039
          16   0.0343333
          32   0.0276667
          64       0.068
         128    0.142667
         256    0.282667
         512       0.366
        1024    0.794333
        2048     1.41067
        4096     2.05267
        8192     3.77567
       16384     7.51333
       32768      15.018
       65536     23.8657
      131072     40.5603
      262144      82.547
      524288     179.115
     1048576      337.54
     2097152     683.821
     4194304     1346.63
     8388608     2688.26
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp 
        size     Runtime
           2    0.130333
           4       0.061
           8   0.0683333
          16   0.0823333
          32   0.0926667
          64    0.133667
         128    0.246333
         256    0.343333
         512    0.678333
        1024     1.25333
        2048     2.55867
        4096     4.70633
        8192     8.03967
       16384      15.646
       32768     30.1953
       65536     54.6313
      131072     117.629
      262144     225.898
      524288     369.269
     1048576     657.495
     2097152     1469.42
     4194304     3042.01
     8388608     5828.06
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppp 
        size     Runtime
           2       0.134
           4       0.013
           8   0.0163333
          16       0.034
          32   0.0653333
          64   0.0506667
         128   0.0876667
         256    0.198333
         512    0.443333
        1024    0.935667
        2048     1.69267
        4096       2.472
        8192     3.93533
       16384       7.768
       32768     15.1217
       65536      24.722
      131072     45.4513
      262144     92.1943
      524288     196.948
     1048576     434.309
     2097152     852.941
     4194304     1698.99
     8388608     3382.47
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp 
        size     Runtime
           2   0.0976667
           4   0.0663333
           8   0.0543333
          16   0.0776667
          32       0.086
          64    0.137333
         128    0.184667
         256       0.373
         512       0.667
        1024     1.38133
        2048     2.49533
        4096       4.668
        8192       8.304
       16384     15.0817
       32768     24.7373
       65536      43.717
      131072     90.8477
      262144     170.394
      524288     301.306
     1048576     589.946
     2097152      1158.7
     4194304      2369.4
     8388608     4932.15
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppp 
        size     Runtime
           2    0.260667
           4   0.0183333
           8       0.027
          16   0.0473333
