model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2       0.047
           4   0.0306667
           8   0.0243333
          16   0.0323333
          32   0.0476667
          64   0.0826667
         128       0.146
         256    0.279333
         512       0.589
        1024     1.31933
        2048        2.97
        4096     6.10933
        8192     11.2147
       16384     20.6513
       32768     38.8773
       65536      76.889
      131072     143.927
      262144     276.262
      524288      609.05
     1048576        1271
     2097152     2636.67
     4194304     5595.46
     8388608     11555.2
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=sppppppppppppppp 
        size     Runtime
           2    0.281667
           4   0.0213333
           8   0.0283333
          16   0.0416667
          32       0.053
          64    0.118667
         128       0.157
         256    0.300667
         512    0.573667
        1024     1.62233
        2048     2.56333
        4096     3.99333
        8192     7.71767
       16384     15.5363
       32768      22.992
       65536     36.1183
      131072     76.3583
      262144     152.016
      524288     299.952
     1048576     599.577
     2097152     1207.78
     4194304     2415.79
     8388608     4822.03
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2       0.131
           4   0.0653333
           8   0.0756667
          16   0.0743333
          32    0.118667
          64    0.171667
         128       0.289
         256    0.520667
         512    0.986667
        1024     1.88333
        2048     3.49833
        4096     6.56967
        8192     10.7037
       16384      21.219
       32768      38.848
       65536     79.8513
      131072      142.46
      262144     288.308
      524288      543.43
     1048576      1100.3
     2097152     2477.43
     4194304     5238.36
     8388608     10644.3
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=sppppppppppppppp 
        size     Runtime
           2       0.091
           4  0.00866667
           8       0.044
          16   0.0926667
          32       0.091
          64    0.160333
         128    0.597333
         256    0.423667
         512    0.963667
        1024     1.60933
        2048     2.44833
        4096     4.69067
        8192     9.20733
       16384      16.189
       32768      28.969
       65536      48.796
      131072     92.6873
      262144     186.232
      524288     388.749
     1048576      765.51
     2097152     1515.78
     4194304     3010.91
     8388608     6019.43
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp 
        size     Runtime
           2    0.109333
           4       0.084
           8       0.095
          16   0.0786667
          32    0.104333
          64    0.186667
         128    0.313667
         256    0.530333
         512    0.995667
        1024     1.89433
        2048       3.936
        4096       7.087
        8192     11.8777
       16384     21.8947
       32768     40.8557
       65536     81.5423
      131072     155.723
      262144     275.977
      524288     522.723
     1048576     1085.16
     2097152     2254.97
     4194304     4871.22
     8388608     10041.2
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=sppppppppppppppp 
        size     Runtime
           2    0.211667
           4   0.0233333
           8       0.035
          16       0.046
          32   0.0856667
          64       0.221
         128    0.231667
         256       0.433
         512    0.755333
        1024       1.725
        2048       2.471
        4096     4.59367
        8192       9.139
       16384     15.5997
       32768     26.9197
       65536     50.6483
      131072     101.086
      262144     221.086
      524288       483.7
     1048576     997.302
     2097152     2000.56
     4194304     4032.72
     8388608     7949.89
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=sppppppppppppppp 
        size     Runtime
           2    0.123667
