model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2       0.031
           4   0.0156667
           8   0.0163333
          16   0.0176667
          32   0.0243333
          64   0.0336667
         128   0.0406667
         256   0.0786667
         512    0.189667
        1024    0.276333
        2048       0.521
        4096     1.10367
        8192       2.805
       16384         6.2
       32768     10.8697
       65536     20.4887
      131072     34.6937
      262144     62.0113
      524288     134.236
     1048576     266.756
     2097152     507.735
     4194304     1205.32
     8388608     2508.68
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spsp 
        size     Runtime
           2    0.246333
           4   0.0133333
           8   0.0116667
          16   0.0106667
          32       0.016
          64       0.029
         128   0.0546667
         256   0.0936667
         512    0.157667
        1024    0.467667
        2048    0.903667
        4096       1.413
        8192     2.02433
       16384       3.659
       32768     7.33633
       65536      14.479
      131072     18.3437
      262144     33.7273
      524288     70.9543
     1048576       155.9
     2097152     309.606
     4194304     608.105
     8388608     1222.25
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.101333
           4   0.0556667
           8   0.0376667
          16   0.0506667
          32       0.045
          64   0.0673333
         128   0.0876667
         256    0.159333
         512    0.250333
        1024    0.475333
        2048       0.914
        4096     1.93767
        8192     3.60433
       16384     6.69367
       32768      11.161
       65536     21.2007
      131072      35.031
      262144     59.0137
      524288      109.68
     1048576     228.269
     2097152      389.01
     4194304      660.03
     8388608     1336.01
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spsp 
        size     Runtime
           2    0.210667
           4       0.009
           8  0.00833333
          16       0.012
          32   0.0146667
          64   0.0376667
         128       0.056
         256    0.114333
         512    0.237667
        1024    0.477667
        2048       0.864
        4096       1.271
        8192     2.26467
       16384       4.199
       32768     7.72567
       65536     15.3173
      131072       25.09
      262144      50.935
      524288     83.8667
     1048576     178.321
     2097152     383.101
     4194304     783.909
     8388608     1535.37
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spsp 
        size     Runtime
           2   0.0896667
           4   0.0376667
           8       0.035
          16   0.0356667
          32   0.0536667
          64   0.0826667
         128   0.0846667
         256       0.129
         512    0.214333
        1024    0.330333
        2048    0.897667
        4096     1.60833
        8192       3.095
       16384     6.75733
       32768     9.48267
       65536      17.758
      131072     30.4267
      262144     64.5843
      524288     103.311
     1048576     211.118
     2097152     333.372
     4194304      616.12
     8388608      1241.1
