model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2   0.0426667
           4   0.0253333
           8   0.0316667
          16   0.0316667
          32   0.0426667
          64       0.065
         128       0.115
         256    0.215333
         512       0.381
        1024    0.794667
        2048        1.65
        4096     3.78833
        8192     7.90533
       16384      15.082
       32768     26.0663
       65536     45.9253
      131072      98.782
      262144     192.375
      524288      422.72
     1048576     824.957
     2097152     2065.02
     4194304      4219.1
     8388608     8832.31
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spspspsp 
        size     Runtime
           2    0.265667
           4   0.0143333
           8   0.0616667
          16       0.044
          32   0.0703333
          64   0.0886667
         128    0.215333
         256       0.334
         512    0.644667
        1024     1.26533
        2048     1.89533
        4096     3.17433
        8192     5.01033
       16384     10.1013
       32768      19.542
       65536      25.363
      131072      54.371
      262144      99.826
      524288     206.109
     1048576     411.129
     2097152     820.174
     4194304     1647.42
     8388608     3272.56
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2       0.125
           4   0.0616667
           8   0.0523333
          16   0.0553333
          32       0.108
          64    0.138333
         128    0.247667
         256       0.379
         512       0.806
        1024     1.41833
        2048       2.751
        4096     5.00633
        8192     8.47633
       16384       16.95
       32768     30.9363
       65536     58.8517
      131072     121.848
      262144     255.034
      524288     444.779
     1048576     859.908
     2097152     1863.55
     4194304     3860.08
     8388608     7593.77
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spspspsp 
        size     Runtime
           2    0.261667
           4       0.026
           8   0.0353333
          16       0.053
          32   0.0376667
          64   0.0913333
         128       0.261
         256    0.306333
         512    0.600333
        1024     1.11167
        2048     1.81567
        4096       2.584
        8192     4.99033
       16384     10.2317
       32768      19.112
       65536     30.7053
      131072      55.648
      262144     117.792
      524288     265.961
     1048576     546.578
     2097152     1090.66
     4194304     2151.16
     8388608     4317.53
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2    0.117667
           4       0.042
           8   0.0676667
          16   0.0726667
          32   0.0996667
          64       0.141
         128    0.211333
         256    0.399333
         512    0.717667
        1024     1.33267
        2048       2.782
        4096     4.67267
        8192     8.82967
       16384     14.3727
       32768     28.7223
       65536     49.2217
      131072     103.105
      262144     185.186
      524288     348.173
     1048576     742.261
     2097152     1416.19
     4194304     3086.93
     8388608     6233.92
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spspspsp 
        size     Runtime
           2    0.265333
           4       0.017
           8   0.0293333
          16   0.0383333
          32       0.103
          64   0.0943333
         128    0.162333
         256    0.373667
         512    0.779333
        1024       1.396
        2048     2.46467
        4096     4.03367
        8192     8.22767
       16384     16.0237
       32768     27.4673
       65536     49.1717
      131072     95.3247
      262144     225.086
      524288     524.025
     1048576     1141.49
     2097152     2285.57
     4194304     4527.15
     8388608     9049.24
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=spspspsp 
        size     Runtime
           2    0.147667
           4   0.0603333
           8   0.0603333
          16       0.112
          32   0.0843333
          64       0.133
         128        0.21
         256       0.379
         512    0.646333
        1024       1.386
        2048     2.45533
        4096     4.24067
        8192     7.20367
       16384     13.6333
       32768     23.2227
       65536     45.0053
      131072     90.9653
      262144      173.02
      524288     294.069
     1048576     587.752
     2097152     1114.78
     4194304     1973.82
     8388608     4616.62
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=spspspsp 
        size     Runtime
           2    0.256333
           4   0.0113333
           8       0.037
          16        0.07
          32    0.438333
          64       0.158
         128       0.246
         256    0.438667
         512    0.876667
        1024       1.818
        2048     2.61667
        4096     4.91767
        8192     9.96733
       16384     19.0223
       32768     31.1017
       65536      63.449
      131072     144.538
      262144     334.681
      524288     810.462
     1048576     1932.29
     2097152     3908.75
     4194304     7756.81
     8388608     15412.5
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=spspspsp 
        size     Runtime
           2    0.155333
           4   0.0673333
           8       0.095
          16       0.115
          32   0.0993333
          64    0.133333
         128        0.23
         256    0.334667
         512       0.791
        1024       1.258
        2048     2.05533
        4096       4.965
        8192     7.48533
       16384     12.8587
       32768     21.5563
       65536     37.3553
      131072     74.2543
      262144     131.995
      524288     258.485
     1048576     580.514
     2097152     1081.11
     4194304     2249.33
