model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2       0.056
           4       0.033
           8       0.049
          16       0.039
          32   0.0623333
          64   0.0903333
         128       0.165
         256       0.321
         512    0.729333
        1024     1.58267
        2048     3.34467
        4096       7.186
        8192      14.107
       16384     24.4147
       32768     45.3807
       65536     102.408
      131072     197.893
      262144     360.524
      524288     851.655
     1048576     2182.03
     2097152     4833.26
     4194304     9580.61
     8388608       19446
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=spspspspspspspsp 
        size     Runtime
           2       0.264
           4       0.019
           8   0.0576667
          16   0.0693333
          32    0.113333
          64    0.161333
         128       0.284
         256    0.560333
         512     1.06567
        1024       1.806
        2048     2.33567
        4096     4.63967
        8192     8.99233
       16384      19.105
       32768     23.4863
       65536     43.7173
      131072     96.6883
      262144     199.804
      524288     387.219
     1048576     774.408
     2097152      1533.6
     4194304     3077.41
     8388608     6103.74
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2    0.129333
           4       0.068
           8       0.067
          16       0.107
          32    0.141333
          64       0.221
         128       0.365
         256    0.620667
         512     1.13567
        1024     2.14633
        2048     4.16267
        4096     6.48233
        8192      12.856
       16384      23.913
       32768     44.5103
       65536     87.9313
      131072     184.895
      262144      313.63
      524288     731.117
     1048576     1696.43
     2097152     2926.87
     4194304     8733.16
     8388608     17509.1
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=spspspspspspspsp 
        size     Runtime
           2       0.284
           4   0.0286667
           8   0.0623333
          16    0.115333
          32    0.109333
          64       0.168
         128    0.302667
         256    0.646667
         512     1.35667
        1024       1.798
        2048     2.84633
        4096     5.80667
        8192     11.1277
       16384     19.6963
       32768     28.5157
       65536      57.323
      131072     130.453
      262144     293.234
      524288     600.329
     1048576      1198.3
     2097152        2362
     4194304     4750.38
     8388608     9577.98
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2    0.132667
           4   0.0736667
           8       0.073
          16    0.101333
          32    0.158333
          64    0.192333
         128    0.383333
         256    0.579667
         512     1.02433
        1024     2.00233
        2048     3.62733
        4096     6.27267
        8192     12.0777
       16384     19.9677
       32768     41.9793
       65536      90.543
      131072     165.028
      262144     292.686
      524288     625.065
     1048576     1345.16
     2097152     3072.03
     4194304     6328.93
     8388608     13196.4
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=spspspspspspspsp 
        size     Runtime
           2    0.210333
           4       0.016
           8   0.0606667
          16   0.0646667
          32    0.127333
          64       0.175
         128       0.291
         256       0.592
         512     1.11233
        1024     1.97633
        2048     3.07133
        4096       6.052
        8192     11.8647
       16384     21.4403
       32768     34.2257
       65536     68.0267
      131072     154.666
      262144     346.911
      524288     799.134
     1048576     1612.79
     2097152     3179.04
     4194304      6299.5
     8388608     12536.4
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=spspspspspspspsp 
        size     Runtime
           2    0.141667
           4   0.0616667
           8   0.0663333
          16   0.0846667
