model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2       0.069
           4       0.028
           8   0.0706667
          16   0.0493333
          32   0.0726667
          64   0.0863333
         128    0.126333
         256    0.232667
         512    0.435667
        1024    0.883333
        2048     1.64767
        4096     3.22967
        8192     5.34267
       16384     9.14467
       32768      18.512
       65536      35.265
      131072     70.7963
      262144     138.827
      524288     208.104
     1048576     372.868
     2097152     734.472
     4194304     1470.11
     8388608     3476.77
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssss 
        size     Runtime
           2    0.257667
           4        0.01
           8   0.0133333
          16       0.018
          32   0.0266667
          64       0.036
         128       0.078
         256       0.123
         512    0.329333
        1024       0.661
        2048    0.994667
        4096     1.71733
        8192       2.975
       16384     5.00733
       32768      10.099
       65536     15.5227
      131072      25.748
      262144      45.355
      524288     87.8877
     1048576     181.304
     2097152      366.79
     4194304     734.683
     8388608     1459.57
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2   0.0906667
           4   0.0456667
           8   0.0393333
          16       0.049
          32       0.055
          64       0.085
         128   0.0903333
         256    0.178333
         512    0.314667
        1024       0.562
        2048     1.26067
        4096        2.42
        8192     4.51233
       16384     7.54367
       32768     14.3677
       65536     26.0527
      131072      45.575
      262144     102.799
      524288     165.627
     1048576     302.844
     2097152     553.402
     4194304     1157.99
     8388608     2290.52
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssss 
        size     Runtime
           2       0.216
           4  0.00733333
           8       0.012
          16   0.0106667
          32   0.0193333
          64   0.0346667
         128   0.0803333
         256    0.122667
         512    0.298333
        1024    0.481333
        2048    0.982667
        4096     2.01667
        8192     2.66767
       16384     5.05867
       32768     9.66067
       65536     19.7163
      131072     30.4837
      262144     52.1683
      524288     104.751
     1048576     214.117
     2097152     549.077
     4194304     1085.71
     8388608     2191.76
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2   0.0983333
           4       0.046
           8       0.028
          16       0.047
          32   0.0596667
          64       0.074
         128   0.0833333
         256       0.162
         512       0.301
        1024       0.527
        2048        1.08
        4096     2.05267
        8192     3.80033
       16384        6.61
       32768      11.215
       65536     22.4993
      131072      38.875
      262144     63.9343
      524288      149.76
     1048576     231.775
     2097152     451.436
     4194304     807.565
     8388608     1731.86
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssss 
        size     Runtime
           2    0.254667
           4        0.01
           8       0.017
          16   0.0216667
          32   0.0316667
          64   0.0646667
         128   0.0663333
         256       0.136
         512       0.277
        1024    0.622667
        2048     1.32167
        4096     2.24567
        8192       3.289
       16384       6.712
       32768      13.355
       65536     22.5277
      131072      39.385
      262144       88.59
      524288      198.44
     1048576     468.327
     2097152     1032.26
     4194304     2096.39
     8388608     4213.29
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssss 
        size     Runtime
           2   0.0556667
           4   0.0533333
           8        0.05
          16       0.063
          32   0.0746667
          64       0.069
         128   0.0856667
         256       0.159
         512    0.313667
        1024    0.526667
        2048    0.990667
        4096       2.031
        8192        3.07
       16384     6.88333
       32768     11.1727
       65536     17.5163
      131072     35.9587
      262144     61.1767
      524288     115.407
     1048576     205.639
     2097152     392.238
     4194304     852.775
     8388608     1322.25
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssss 
        size     Runtime
           2    0.247333
           4       0.015
           8   0.0183333
          16   0.0186667
          32       0.023
          64       0.039
         128       0.103
         256       0.248
         512    0.615333
        1024    0.917667
        2048     1.82267
        4096       3.145
        8192     6.73667
       16384     15.9923
       32768       27.24
       65536     37.0143
      131072     75.6793
      262144     213.254
      524288     561.714
     1048576     1502.51
     2097152     3166.91
     4194304     6240.96
     8388608     12516.9
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssss 
        size     Runtime
           2    0.131667
           4   0.0656667
           8   0.0616667
          16       0.066
          32   0.0883333
          64   0.0893333
         128    0.102333
         256       0.183
         512    0.257333
        1024    0.462333
        2048       0.862
        4096     2.03267
        8192     3.60267
       16384       6.025
       32768     9.45133
       65536      17.296
      131072      29.134
      262144     52.8543
      524288     102.413
     1048576       207.7
     2097152     366.078
     4194304     833.169
     8388608     1583.06
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=ssss 
        size     Runtime
           2    0.228333
           4  0.00966667
           8   0.0153333
          16   0.0283333
          32   0.0383333
          64   0.0593333
         128       0.127
         256       5.718
         512     1.95867
        1024     1.42367
        2048       4.321
        4096     9.53067
