model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2       0.053
           4   0.0253333
           8       0.039
          16   0.0643333
          32        0.05
          64   0.0693333
         128    0.129667
         256       0.241
         512    0.402667
        1024       0.811
        2048       1.863
        4096       4.213
        8192       9.077
       16384     14.9177
       32768     25.8937
       65536     47.4913
      131072     95.3903
      262144     173.979
      524288      421.81
     1048576     933.158
     2097152     2193.17
     4194304     4750.66
     8388608     9757.61
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssss 
        size     Runtime
           2    0.278667
           4   0.0146667
           8   0.0336667
          16       0.042
          32   0.0516667
          64       0.078
         128    0.164333
         256       0.311
         512        0.66
        1024     1.28333
        2048     2.14933
        4096     3.05867
        8192     6.00933
       16384     12.0243
       32768     22.3967
       65536     28.4483
      131072      56.963
      262144     118.924
      524288      242.72
     1048576     480.662
     2097152      963.52
     4194304     1923.11
     8388608     3847.53
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.128333
           4   0.0806667
           8       0.125
          16   0.0706667
          32       0.083
          64       0.131
         128    0.218667
         256    0.424333
         512       0.834
        1024       1.463
        2048     2.94933
        4096     4.72967
        8192     8.66567
       16384     17.3527
       32768     31.6577
       65536     65.3417
      131072     107.458
      262144     266.717
      524288       467.3
     1048576      963.56
     2097152     1982.36
     4194304     3745.64
     8388608     8143.84
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssss 
        size     Runtime
           2    0.320333
           4       0.051
           8   0.0333333
          16   0.0416667
          32       0.089
          64    0.110333
         128    0.186667
         256       0.327
         512       0.634
        1024     1.43433
        2048     2.13533
        4096     3.65933
        8192     7.15567
       16384     14.1627
       32768     24.7107
       65536     35.7873
      131072     72.2393
      262144     152.245
      524288     320.671
     1048576     661.292
     2097152     1331.74
     4194304     2676.96
     8388608     5371.28
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2       0.114
           4   0.0813333
           8       0.055
          16   0.0683333
          32    0.104667
          64    0.147667
         128       0.262
         256    0.386667
         512    0.738333
        1024       1.425
        2048        2.84
        4096     4.65433
        8192     8.42367
       16384     16.0993
       32768     28.7913
       65536      49.484
      131072     104.453
      262144     203.403
      524288     367.172
     1048576     790.035
     2097152     1637.39
     4194304        3055
     8388608     6136.01
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssss 
        size     Runtime
           2       0.132
           4  0.00833333
           8   0.0113333
          16       0.038
          32    0.107333
          64   0.0973333
         128    0.205667
         256       0.444
         512    0.762333
        1024     1.58133
        2048     2.45333
        4096     4.37767
        8192       8.969
       16384     15.8287
       32768     27.8397
       65536      53.432
      131072     107.938
      262144     227.897
      524288     520.783
     1048576     1188.14
     2097152     2366.23
     4194304     4783.49
     8388608     9505.16
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssss 
        size     Runtime
           2   0.0813333
           4   0.0746667
           8   0.0873333
          16   0.0913333
          32    0.106667
          64    0.149333
         128    0.243667
         256       0.396
         512    0.673667
        1024     1.35167
        2048     2.41233
        4096     4.53533
        8192     7.87167
       16384      14.266
       32768     24.4413
       65536     46.2497
      131072     88.9007
      262144     162.693
      524288      308.58
     1048576     654.585
     2097152      1262.8
     4194304     2502.99
     8388608     5341.59
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssss 
        size     Runtime
           2    0.145667
           4   0.0186667
           8        0.01
          16   0.0276667
          32     1.10833
          64     1.28633
         128    0.286333
         256       0.411
         512        0.75
        1024     1.46733
        2048     2.64867
        4096     5.27167
        8192       10.56
       16384      18.863
       32768     35.2793
       65536      76.732
      131072     170.296
      262144     394.708
      524288     961.655
     1048576     2136.86
     2097152     4234.45
     4194304     8511.79
     8388608     16755.9
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssss 
        size     Runtime
           2    0.175667
           4   0.0793333
           8        0.09
          16       0.104
          32   0.0966667
          64    0.140333
         128       0.204
         256    0.316667
         512    0.747667
        1024       1.441
        2048     2.54933
        4096     4.25367
        8192     7.62767
       16384      14.236
       32768      21.548
       65536     38.8747
      131072      75.544
      262144     136.441
      524288      268.47
     1048576     612.599
     2097152     1159.85
     4194304     2518.16
     8388608     5157.81
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssss 
        size     Runtime
           2       0.113
           4   0.0103333
           8   0.0116667
          16   0.0143333
          32       0.025
          64    0.271667
         128    0.958333
         256    0.692333
         512    0.960333
        1024       1.864
        2048       3.523
        4096     12.7903
        8192     21.4817
       16384     46.9613
       32768      95.753
       65536     193.176
      131072     384.178
      262144     764.985
      524288     1528.96
     1048576     3074.72
     2097152     6166.34
     4194304       12326
     8388608     25331.1
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssss 
        size     Runtime
           2   0.0906667
           4   0.0626667
           8   0.0886667
          16    0.131333
          32       0.159
          64       0.129
         128       0.187
         256    0.419333
         512       0.692
        1024       1.506
        2048     1.86767
        4096     5.23167
        8192     8.34733
       16384     12.2843
       32768      21.189
       65536     35.9653
      131072       66.33
      262144     131.237
      524288     263.686
     1048576     558.343
     2097152     1207.54
     4194304     2493.71
     8388608     5042.49
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssss 
        size     Runtime
           2    0.100667
           4  0.00533333
           8  0.00533333
          16  0.00866667
          32       0.033
          64     7.43367
         128     10.0313
         256       1.218
         512     2.18333
        1024       3.699
        2048     6.86633
        4096     13.7077
        8192     26.6593
       16384     53.4843
       32768     109.172
       65536      218.88
      131072     427.702
      262144     846.491
      524288     1687.37
     1048576     3430.78
     2097152      6858.7
     4194304       13631
     8388608     27139.9
