model=tf num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2   0.0453333
           4   0.0293333
           8   0.0343333
          16       0.052
          32        0.06
          64    0.118667
         128    0.202667
         256    0.403667
         512       0.784
        1024     1.74033
        2048       3.909
        4096     7.85933
        8192     15.5143
       16384     27.8107
       32768     54.1963
       65536      94.935
      131072     185.602
      262144     451.329
      524288     1188.02
     1048576     2414.82
     2097152     5419.19
     4194304     11329.4
     8388608     23624.8
model=tbb num_threads=4 num_rounds=3 num_lines=4 pipes=ssssssssssssssss 
        size     Runtime
           2    0.273667
           4   0.0283333
           8       0.069
          16   0.0683333
          32    0.117667
          64    0.210667
         128    0.365667
         256    0.687333
         512     1.42133
        1024     1.84633
        2048     2.67733
        4096       6.161
        8192     11.1413
       16384     21.5453
       32768     28.9797
       65536     53.4223
      131072      107.39
      262144     211.424
      524288     425.471
     1048576     855.551
     2097152     1707.54
     4194304     3405.26
     8388608     6814.53
model=tf num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss 
        size     Runtime
           2       0.125
           4       0.079
           8       0.105
          16   0.0993333
          32    0.152667
          64        0.25
         128    0.382667
         256    0.704333
         512     1.29667
        1024     2.25867
        2048     4.34367
        4096     7.62633
        8192     13.4563
       16384      25.926
       32768     48.7617
       65536     101.746
      131072     192.306
      262144     362.557
      524288     704.644
     1048576     1739.71
     2097152     4119.32
     4194304     8783.66
     8388608       18184
model=tbb num_threads=8 num_rounds=3 num_lines=8 pipes=ssssssssssssssss 
        size     Runtime
           2    0.284333
           4       0.024
           8   0.0603333
          16       0.095
          32    0.185333
          64    0.234667
         128       2.763
         256    0.424333
         512    0.766667
        1024       1.705
        2048       2.781
        4096       5.389
        8192      10.674
       16384      22.164
       32768     37.2567
       65536     61.9143
      131072     131.878
      262144     291.088
      524288     610.982
     1048576     1196.62
     2097152     2449.13
     4194304     4872.68
     8388608     9716.42
model=tf num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss 
        size     Runtime
           2       0.145
           4   0.0656667
           8       0.079
          16    0.137667
          32    0.152667
          64    0.200667
         128    0.362333
         256    0.606667
         512     1.23967
        1024     2.23167
        2048       4.377
        4096     7.30933
        8192     13.4273
       16384     25.9923
       32768     50.9377
       65536      95.495
      131072     200.447
      262144     362.477
      524288     784.015
     1048576     1836.69
     2097152     4141.19
     4194304     8371.85
     8388608     18155.1
model=tbb num_threads=16 num_rounds=3 num_lines=16 pipes=ssssssssssssssss 
        size     Runtime
           2    0.151667
           4   0.0293333
           8       0.053
          16   0.0736667
          32       0.102
          64       0.137
         128    0.273333
         256    0.612667
         512       1.047
        1024     1.81567
        2048     3.50067
        4096       6.934
        8192     13.3753
       16384     24.3497
       32768     43.4187
       65536      87.451
      131072     188.323
      262144     415.229
      524288     901.064
     1048576     1852.28
     2097152     3735.16
     4194304     7403.25
     8388608     14792.8
model=tf num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssssssssssss 
        size     Runtime
           2    0.124667
           4       0.069
           8   0.0893333
          16       0.081
          32        0.14
          64    0.169667
         128    0.338333
         256       0.618
         512     1.19867
        1024       2.095
        2048       4.508
        4096     6.89233
        8192      14.218
       16384      22.414
       32768     42.8463
       65536     84.0417
      131072     168.461
      262144     339.388
      524288     708.857
     1048576     1569.83
     2097152     3304.87
     4194304     6675.52
     8388608     13263.5
model=tbb num_threads=32 num_rounds=3 num_lines=32 pipes=ssssssssssssssss 
        size     Runtime
           2    0.278667
           4   0.0286667
           8   0.0603333
          16       0.395
          32    0.171667
          64    0.281667
         128       0.423
         256    0.679333
         512     1.37333
        1024     2.29433
        2048     4.11567
        4096     8.22067
        8192     15.8593
       16384     29.2383
       32768     56.5967
       65536     116.836
      131072     251.422
      262144      554.24
      524288     1232.41
     1048576     2596.23
     2097152     5196.44
     4194304     10367.4
     8388608     20774.5
model=tf num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssssssssssss 
        size     Runtime
           2    0.120667
           4   0.0533333
           8   0.0816667
          16    0.109667
          32    0.156333
          64    0.241667
         128       0.351
         256    0.634333
         512    0.990333
        1024     2.39367
        2048     3.74267
        4096     7.12333
        8192     10.8813
       16384     22.3423
       32768      38.625
       65536     74.8423
      131072     144.751
      262144     282.584
      524288     626.678
     1048576     1445.47
     2097152      2850.8
     4194304     5700.63
     8388608     11162.1
model=tbb num_threads=64 num_rounds=3 num_lines=64 pipes=ssssssssssssssss 
        size     Runtime
           2       0.202
           4   0.0553333
           8       0.062
          16    0.217667
          32       2.966
          64       0.276
         128       3.011
         256     1.05567
         512     1.93767
        1024     4.14367
        2048     7.57333
        4096     13.3447
        8192      25.195
       16384      49.578
       32768     98.2937
       65536     194.377
      131072     388.394
      262144     798.947
      524288      1601.6
     1048576     3197.88
     2097152      6388.2
     4194304     12768.9
     8388608     25561.4
model=tf num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssssssssssss 
        size     Runtime
           2   0.0866667
           4   0.0513333
           8   0.0836667
          16   0.0903333
          32    0.160667
          64       0.236
         128    0.443667
         256    0.698667
         512    0.936333
        1024     2.25467
        2048       4.264
        4096     7.18433
        8192     11.8397
       16384     20.1687
       32768     37.1827
       65536     70.8483
      131072     136.574
      262144     286.488
      524288     603.298
     1048576     1291.91
     2097152     2733.24
     4194304     5556.38
     8388608     11028.7
model=tbb num_threads=80 num_rounds=3 num_lines=80 pipes=ssssssssssssssss 
        size     Runtime
           2    0.145333
           4   0.0103333
           8       0.015
          16   0.0396667
          32    0.110667
          64    0.436667
         128     1.97267
         256     1.76333
         512     2.49033
        1024     4.16667
        2048     7.62233
        4096     14.5847
        8192      27.172
       16384     53.1567
       32768      106.51
       65536     209.977
      131072      421.66
      262144     846.283
      524288      1693.2
     1048576     3397.83
     2097152     6761.81
     4194304     13472.1
     8388608     26989.5
